0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "POST /SalonManagement/salesChart HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "POST /SalonManagement/dashBoardSales HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:19 +0800] "POST /SalonManagement/dashBoardSales HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:24 +0800] "GET /SalonManagement/getImage.action?ImageID=105&type=employee HTTP/1.1" 200 120512
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:24 +0800] "GET /SalonManagement/transReserve HTTP/1.1" 200 78205
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "GET /SalonManagement/getJob HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "GET /SalonManagement/getServiceNames HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "GET /SalonManagement/getProductNames HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "GET /SalonManagement/getCategory HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "POST /SalonManagement/api/v1/getAllLocation HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "POST /SalonManagement/api/v1/getAllOtherCharge HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "POST /SalonManagement/getAllDiscountNoDetails HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "GET /SalonManagement/getServiceCategory HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:25 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:26 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:26 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 1800
